f_es,T_es,chisquared_avg,chisquared_000,chisquared_001,chisquared_002,chisquared_003,chisquared_004
1.1800752156280975e-05,2.904188613585162,1544.126903197449,1949.6311300378977,2215.6562841171067,704.1075604642631,832.6963582352769,2018.5431831327
1.1924950995756349e-05,2.904188613585162,1575.94477399077,1990.251232751609,2258.483646289866,722.8899113039407,848.1637547488489,2059.9353248595858
1.2049149835231725e-05,2.904188613585162,1607.8935375970875,2030.8331741102138,2301.487627192939,742.1294870772987,863.9235239072453,2101.093875697741
1.21733486747071e-05,2.904188613585162,1639.9629711517832,2071.3845850949424,2344.6467569864985,761.7732477198285,879.947247908615,2142.06301804903
1.2297547514182474e-05,2.904188613585162,1672.1446468514616,2111.9117029180907,2387.9434837399895,781.7787127872825,896.2115371993127,2182.8777976126335
1.242174635365785e-05,2.904188613585162,1704.4289170637646,2152.4169010658534,2431.3574957832543,802.1068065388163,912.6953015306606,2223.568080400238
1.2545945193133225e-05,2.904188613585162,1736.2189453665603,2192.2641913126718,2473.5572872458933,821.7187282015495,929.0309105240036,2264.5236095486844
1.26701440326086e-05,2.904188613585162,1768.0853902776503,2232.06376837166,2515.878683105265,841.6784645294963,945.5716337603575,2305.2344016214724
1.2794342872083976e-05,2.904188613585162,1800.0236298771501,2271.822231398977,2558.306907052743,861.9495288586917,962.300228568045,2345.7392535072945
1.291854171155935e-05,2.904188613585162,1832.0296498043365,2311.5449430539175,2600.8295490936584,882.5021032166856,979.2021747378142,2386.0694789196073
1.3042740551034725e-05,2.904188613585162,1864.0998377012925,2351.236205244778,2643.4359874153115,903.3114442256611,996.2650667281132,2426.2504848925983
1.3166939390510101e-05,2.904188613585162,1896.120305852945,2390.6274490129485,2685.4333528779243,923.9954977698411,1013.5830379098361,2466.9621916941746
1.3291138229985474e-05,2.904188613585162,1928.1265588173592,2429.8963036692535,2727.37135261993,944.8501793662056,1031.0249002212263,2507.4900582101814
1.341533706946085e-05,2.904188613585162,1960.1344354613248,2469.087975956546,2769.342894643026,965.9090385519148,1048.5674886712152,2547.764779483922
1.3539535908936226e-05,2.904188613585162,1992.1469074804822,2508.210529026152,2811.3435697633477,987.15561298704,1066.205897779441,2587.818927846431
1.3663734748411599e-05,2.904188613585162,2024.1662261906495,2547.270597847408,2853.369393677466,1008.5759804660333,1083.935720097559,2627.6794388647786
1.3787933587886975e-05,2.904188613585162,2056.024876413884,2586.2831180500084,2894.784961425789,1029.7146666909837,1101.7737575606234,2667.5678783420167
1.3912132427362352e-05,2.904188613585162,2087.7929189758534,2625.174438377176,2935.981703918861,1050.8642045907527,1119.6788962320863,2707.265351760392
1.4036331266837724e-05,2.904188613585162,2119.5289946658495,2663.9434085271682,2977.1762433790523,1072.1686420175067,1137.6390623252541,2746.7176170802663
1.41605301063131e-05,2.904188613585162,2151.2381637739027,2702.6016439689784,3018.367113749382,1093.616566827923,1155.653181576362,2785.952312746869
1.4284728945788477e-05,2.904188613585162,2182.924542018198,2741.1589142608673,3059.5528524390693,1115.1981804771035,1173.7201326420432,2824.9926302719055
1.440892778526385e-05,2.904188613585162,2214.477091572696,2779.6740441658008,3100.2710871059817,1136.591081954289,1191.8893658165478,2863.959878820858
1.4533126624739226e-05,2.904188613585162,2245.901858680175,2818.06894918658,3140.6675610772486,1157.905942689895,1210.1154467970146,2902.751393650139
1.4657325464214602e-05,2.904188613585162,2277.2696657715887,2856.3094667550417,3181.033598954687,1179.3364381887789,1228.3611111062114,2941.307713853227
1.4781524303689975e-05,2.904188613585162,2308.586790432255,2894.4091274408984,3221.36984264867,1200.8748004234542,1246.6278513892973,2979.6523302589558
1.4905723143165351e-05,2.904188613585162,2339.858487820639,2932.379483530633,3261.676679223742,1222.5142624286523,1264.9168012612172,3017.8052126589487
1.5029921982640727e-05,2.904188613585162,2371.0885969414235,2970.2950782408134,3301.982658182981,1243.9963977787838,1283.2842545330825,3055.8845959714567
1.51541208221161e-05,2.904188613585162,2402.2394029791913,3008.1124698274716,3342.2325167469817,1265.2965982065523,1301.710842729262,3093.8445873856895
1.5278319661591476e-05,2.904188613585162,2433.30492025921,3045.7551914890337,3382.381249311322,1286.6858124121868,1320.1302458754349,3131.572102208074
1.5402518501066853e-05,2.904188613585162,2464.292982679497,3083.2372814152636,3422.4356551476985,1308.1584180413815,1338.5455768942165,3169.087981898928
1.5526717340542225e-05,2.904188613585162,2495.2102989755685,3120.5708897346094,3462.401552117745,1329.7094577995178,1356.9594328467938,3206.4101623791785
1.56509161800176e-05,2.904188613585162,2525.9712134973297,3157.7001939822494,3502.073103512551,1351.1552082885848,1375.3619926483666,3243.5655690548965
1.5775115019492978e-05,2.904188613585162,2556.4762126160886,3194.5406658432184,3541.2481744295746,1372.335157377888,1393.7283025172396,3280.528762912524
1.589931385896835e-05,2.904188613585162,2586.893535863731,3231.2131696505007,3580.321103936309,1393.584213340353,1412.0764295591634,3317.2727628323264
1.6023512698443727e-05,2.904188613585162,2617.2302074871254,3267.7299346022965,3619.297939332911,1414.8982181171734,1430.4096603954936,3353.815284987753
1.6147711537919103e-05,2.904188613585162,2647.4923102512353,3304.101646160264,3658.183913831304,1436.273462177397,1448.7307938378865,3390.1717352493242
1.6271910377394476e-05,2.904188613585162,2677.6412623392853,3340.2927825898287,3696.8824755486003,1457.6044071928259,1467.0577476065491,3426.3688987586256
1.6396109216869852e-05,2.904188613585162,2707.5445514192606,3376.1653349669864,3735.1097353418036,1478.617394723699,1485.4164384417727,3462.4138536220426
1.6520308056345228e-05,2.904188613585162,2737.3555230810507,3411.8764940055144,3773.228081840053,1499.6827958407894,1503.7426025608831,3498.247641158012
