f_es,T_es,chisquared
0.0005857020818056661,0.17636705308557563,7381.275047454697
0.0007390722033525775,0.17636705308557563,7341.1707096706195
0.0009326033468832199,0.17636705308557563,7300.576380015488
0.0011768119524349992,0.17636705308557563,7263.688012539769
0.0014849682622544635,0.17636705308557563,7230.27689451861
0.001873817422860383,0.17636705308557563,7200.334500844772
0.002364489412645407,0.17636705308557563,7174.250112691428
0.0029836472402833404,0.17636705308557563,7151.813402609164
0.0037649358067924636,0.17636705308557563,7133.9058872601645
0.004750810162102793,0.17636705308557563,7120.16173667667
0.005994842503189409,0.17636705308557563,7109.9521891506265
0.007564633275546291,0.17636705308557563,7103.28902637976
0.009545484566618327,0.17636705308557563,7100.372548837161
0.012045035402587835,0.17636705308557563,7101.157721950697
0.01519911082952933,0.17636705308557563,7105.868215259332
0.019179102616724848,0.17636705308557563,7114.64963750485
0.024201282647943835,0.17636705308557563,7127.578925438757
0.030538555088334123,0.17636705308557563,7144.747381227795
0.038535285937105354,0.17636705308557563,7166.3357473718015
0.04862601580065353,0.17636705308557563,7190.95138048815
0.06135907273413163,0.17636705308557563,7218.741377236188
0.07742636826811278,0.17636705308557563,7251.306476250579
0.09770099572992247,0.17636705308557563,7288.791043316422
0.12328467394420634,0.17636705308557563,7331.284188641068
0.15556761439304723,0.17636705308557563,7378.83429691207
0.19630406500402683,0.17636705308557563,7431.529415198402
0.2477076355991714,0.17636705308557563,7489.400628705445
0.31257158496882353,0.17636705308557563,7552.444644907751
0.39442060594376477,0.17636705308557563,7626.068061231844
0.49770235643321137,0.17636705308557563,7714.627338339553
0.6280291441834247,0.17636705308557563,7803.8947700433755
0.7924828983539186,0.17636705308557563,7893.371141531475
1.0,0.17636705308557563,7982.550763360762
1e-10,0.18586515949182233,47915.48547134559
1.2618568830660183e-10,0.18586515949182233,47912.49124933714
1.592282793341094e-10,0.18586515949182233,47929.158872098866
2.0092330025650458e-10,0.18586515949182233,47953.78468735632
2.5353644939701164e-10,0.18586515949182233,47980.41533588195
3.1992671377973845e-10,0.18586515949182233,48005.95282680505
4.03701725859655e-10,0.18586515949182233,48028.75671296112
5.094138014816385e-10,0.18586515949182233,48047.9659820839
6.428073117284319e-10,0.18586515949182233,48063.161960705285
8.111308307896856e-10,0.18586515949182233,48074.157811871
1.0235310218990269e-09,0.18586515949182233,48080.90262201129
1.2915496650148826e-09,0.18586515949182233,48083.408000802265
1.6297508346206469e-09,0.18586515949182233,29240.862156569438
2.0565123083486515e-09,0.18586515949182233,29181.49357568873
2.595024211399732e-09,0.18586515949182233,29409.81166744942
3.2745491628777316e-09,0.18586515949182233,29797.474190203637
4.132012400115335e-09,0.18586515949182233,30267.787672621664
5.214008287999674e-09,0.18586515949182233,30774.665259618778
6.579332246575682e-09,0.18586515949182233,31290.344175493363
8.302175681319736e-09,0.18586515949182233,31798.182141220197
1.0476157527896662e-08,0.18586515949182233,21646.39663103993
1.3219411484660288e-08,0.18586515949182233,21749.36811471526
1.6681005372000592e-08,0.18586515949182233,22082.156320755603
2.104904144512022e-08,0.18586515949182233,22551.237095502343
2.656087782946684e-08,0.18586515949182233,23095.300140346793
3.351602650938841e-08,0.18586515949182233,17653.647078759477
4.229242874389499e-08,0.18586515949182233,17618.76092168262
5.336699231206302e-08,0.18586515949182233,17805.76590465401
6.734150657750828e-08,0.18586515949182233,18119.094389154525
8.497534359086438e-08,0.18586515949182233,15715.359350625291
1.0722672220103232e-07,0.18586515949182233,15081.44331025993
1.3530477745798075e-07,0.18586515949182233,15100.596017253518
1.7073526474706888e-07,0.18586515949182233,15236.263145262688
2.1544346900318867e-07,0.18586515949182233,13443.041897925299
2.71858824273294e-07,0.18586515949182233,13226.509488556972
3.4304692863149193e-07,0.18586515949182233,13188.246241192603
4.3287612810830616e-07,0.18586515949182233,12148.883643178535
5.462277217684337e-07,0.18586515949182233,11909.282267422175
6.892612104349695e-07,0.18586515949182233,11524.766909376487
8.697490026177835e-07,0.18586515949182233,11033.385260009085
1.0974987654930568e-06,0.18586515949182233,10855.8093610526
1.3848863713938717e-06,0.18586515949182233,10303.721786084137
1.747528400007683e-06,0.18586515949182233,10089.421867434083
2.2051307399030456e-06,0.18586515949182233,9751.642243378972
2.782559402207126e-06,0.18586515949182233,9547.111512708452
3.5111917342151275e-06,0.18586515949182233,9302.744485434168
4.430621457583877e-06,0.18586515949182233,9108.982192983725
5.590810182512223e-06,0.18586515949182233,8943.97870095758
7.0548023107186455e-06,0.18586515949182233,8747.937526487627
8.902150854450392e-06,0.18586515949182233,8570.176280704645
1.1233240329780266e-05,0.18586515949182233,8406.360373652939
1.4174741629268048e-05,0.18586515949182233,8252.835653600407
1.7886495290574353e-05,0.18586515949182233,8114.788676343834
2.2570197196339216e-05,0.18586515949182233,8024.878714420148
2.848035868435799e-05,0.18586515949182233,7998.630211494273
3.5938136638046256e-05,0.18586515949182233,7994.774367469147
4.534878508128582e-05,0.18586515949182233,7992.107461428033
5.72236765935022e-05,0.18586515949182233,7957.620500527605
7.220809018385456e-05,0.18586515949182233,7899.063182157386
9.111627561154887e-05,0.18586515949182233,7839.921910866147
0.00011497569953977356,0.18586515949182233,7776.864989957572
0.000145082877849594,0.18586515949182233,7712.59860804512
0.0001830738280295366,0.18586515949182233,7644.277402617298
0.0002310129700083158,0.18586515949182233,7580.348832977649
0.0002915053062825176,0.18586515949182233,7522.284037346215
0.0003678379771828634,0.18586515949182233,7469.6549238707785
0.0004641588833612782,0.18586515949182233,7422.434341536024
0.0005857020818056661,0.18586515949182233,7380.580903083061
0.0007390722033525775,0.18586515949182233,7340.458087835264
0.0009326033468832199,0.18586515949182233,7299.84526499799
0.0011768119524349992,0.18586515949182233,7262.938264680661
0.0014849682622544635,0.18586515949182233,7229.50811932334
