obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"542.2859","542.2858","0.0010","6.0e+05",D,"13.07571571","15.3620414","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).8s","2[3/2]*","2",7,5,,"T1164n","L2634",
,"544.1501","0.0010","1.9e+05",D+,"12.90701530","15.18550800","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).7s","2[3/2]*","1",3,3,,"T1218n",,
,"544.3759","0.0010","9.3e+04",D,"13.07571571","15.3532632","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).6d","2[5/2]*","3",7,7,,"T1164n",,
"545.3167","545.3167","0.0010","4.7e+05",D+,"12.90701530","15.18063359","3s2.3p5.(2P*<3/2>).4p","2[1/2]","1","3s2.3p5.(2P*<3/2>).7s","2[3/2]*","2",3,5,,"T1218n","L2634",
,"545.8932","0.0010","3.6e+05",D,"13.09487256","15.3660895","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).8s","2[3/2]*","1",5,3,,"T1218n",,
,"546.1168","0.0010","3.8e+04",D,"13.07571571","15.34600299","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3","3s2.3p5.(2P*<3/2>).6d","2[7/2]*","3",7,7,,"T1218n",,
,"546.8680","0.0010","7.6e+04",D,"13.09487256","15.3620414","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).8s","2[3/2]*","2",5,5,,"T1218n",,
,"547.4972","0.0010","2.0e+05",D,"13.09487256","15.3594356","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<1/2>).7s","2[1/2]*","1",5,3,,"T1218n",,
,"549.1645","0.0010","8.5e+04",D,"13.09487256","15.3525603","3s2.3p5.(2P*<3/2>).4p","2[5/2]","2","3s2.3p5.(2P*<3/2>).6d","2[5/2]*","2",5,5,,"T1164n",,
,"549.3606","0.0010","5.6e+05",E,"13.28263902","15.539521","3s2.3p5.(2P*<1/2>).4p","2[3/2]","1","3s2.3p5.(2P*<1/2>).8s","2[1/2]*","0",3,1,,"T1164n",,
